name,direction,number,q1,q2,q3,q4,q5
Pratt School,,05,TRUE,FALSE,FALSE,FALSE,FALSE
Maclaurin Buildings,,03,TRUE,FALSE,FALSE,FALSE,FALSE
Rogers Building,,07,TRUE,FALSE,FALSE,FALSE,FALSE
Homberg Building,,11,TRUE,FALSE,FALSE,FALSE,FALSE
Maclaurin Buildings,,10,TRUE,FALSE,TRUE,FALSE,FALSE
The Simons Building,,02,TRUE,FALSE,FALSE,FALSE,FALSE
Maclaurin Buildings,,04,TRUE,FALSE,FALSE,FALSE,FALSE
Eastman Laboratories,,06,TRUE,FALSE,FALSE,FALSE,FALSE
Building 8,,08,TRUE,FALSE,FALSE,FALSE,FALSE
Dorrance Building,,16,TRUE,FALSE,TRUE,FALSE,FALSE
Whitaker Building,,56,TRUE,FALSE,TRUE,FALSE,FALSE
Dreyfus Building,,18,TRUE,FALSE,FALSE,FALSE,FALSE
Hayden Memorial Library,,14,TRUE,FALSE,FALSE,FALSE,FALSE
Walker Memorial,,50,TRUE,FALSE,FALSE,FALSE,FALSE
Wood Sailing Pavilion,,51,TRUE,FALSE,FALSE,FALSE,FALSE
Green Building,,54,TRUE,FALSE,TRUE,FALSE,FALSE
Tina and Hamid Moghadam Building,,55,TRUE,FALSE,FALSE,FALSE,FALSE
Landau Building,,66,TRUE,FALSE,FALSE,FALSE,FALSE
Koch Biology Building,,68,TRUE,FALSE,TRUE,FALSE,FALSE
The David H. Koch Institute,,76,TRUE,FALSE,TRUE,FALSE,FALSE
"East Campus, West",,62,TRUE,FALSE,FALSE,FALSE,TRUE
"East Campus, East",,64,TRUE,FALSE,FALSE,FALSE,TRUE
Gray House,E,01,TRUE,TRUE,FALSE,FALSE,TRUE
70 Amherst Street,E,02,TRUE,TRUE,FALSE,FALSE,TRUE
Media Lab,E,14,TRUE,TRUE,TRUE,FALSE,FALSE
Wiesner Building,E,15,TRUE,TRUE,FALSE,FALSE,FALSE
Mudd Building,E,17,TRUE,TRUE,TRUE,FALSE,FALSE
Ford Building,E,18,TRUE,TRUE,TRUE,FALSE,FALSE
Ford Building,E,19,TRUE,TRUE,TRUE,FALSE,FALSE
Whitaker College,E,25,TRUE,TRUE,TRUE,FALSE,FALSE
MIT Health,E,23,TRUE,TRUE,FALSE,FALSE,FALSE
MIT Museum,E,28,TRUE,TRUE,TRUE,FALSE,FALSE
MIT Welcome Center,E,38,TRUE,TRUE,FALSE,FALSE,FALSE
Site 4,E,37,TRUE,TRUE,TRUE,FALSE,TRUE
Muckley Building,E,40,TRUE,TRUE,FALSE,FALSE,FALSE
Tang Center,E,51,TRUE,TRUE,FALSE,FALSE,FALSE
Hermann Building,E,53,TRUE,TRUE,FALSE,FALSE,FALSE
Arthur D Little Building,E,60,TRUE,TRUE,FALSE,FALSE,FALSE
